時間戳記,Index,Learning_Rate,Batch_Size,Dropout_Config_ID,Dropout_Values,Accuracy,訓練耗時(秒),平台
2025-12-19 18:59:30,123,8e-05,22,2,"[0.4, 0.35, 0.3, 0.25]",0.831737,216.32,Windows-AMD64
2025-12-19 19:03:27,124,8e-05,22,3,"[0.45, 0.4, 0.35, 0.3]",0.840629,236.86,Windows-AMD64
2025-12-19 19:07:30,125,8e-05,22,4,"[0.5, 0.45, 0.4, 0.35]",0.831737,241.99,Windows-AMD64
2025-12-19 19:12:23,126,8e-05,22,5,"[0.55, 0.5, 0.45, 0.4]",0.836525,293.43,Windows-AMD64
2025-12-19 19:16:04,127,8e-05,22,6,"[0.4, 0.4, 0.4, 0.4]",0.833789,220.72,Windows-AMD64
2025-12-19 19:19:41,128,8e-05,22,7,"[0.3, 0.3, 0.3, 0.3]",0.836525,216.46,Windows-AMD64
2025-12-19 19:23:18,129,8e-05,22,8,"[0.5, 0.3, 0.3, 0.1]",0.821477,217.04,Windows-AMD64
2025-12-19 19:25:59,130,8e-05,22,9,"[0.2, 0.3, 0.4, 0.5]",0.833105,160.60,Windows-AMD64
2025-12-19 19:28:59,131,8e-05,24,0,"[0.3, 0.25, 0.2, 0.15]",0.827633,179.90,Windows-AMD64
2025-12-19 19:32:27,132,8e-05,24,1,"[0.35, 0.3, 0.25, 0.2]",0.844049,207.81,Windows-AMD64
2025-12-19 19:35:14,133,8e-05,24,2,"[0.4, 0.35, 0.3, 0.25]",0.827633,165.59,Windows-AMD64
2025-12-19 19:38:43,134,8e-05,24,3,"[0.45, 0.4, 0.35, 0.3]",0.833105,209.17,Windows-AMD64
2025-12-19 19:42:43,135,8e-05,24,4,"[0.5, 0.45, 0.4, 0.35]",0.838577,239.81,Windows-AMD64
2025-12-19 19:47:36,136,8e-05,24,5,"[0.55, 0.5, 0.45, 0.4]",0.841313,292.94,Windows-AMD64
2025-12-19 19:51:09,137,8e-05,24,6,"[0.4, 0.4, 0.4, 0.4]",0.836525,212.93,Windows-AMD64
2025-12-19 19:53:56,138,8e-05,24,7,"[0.3, 0.3, 0.3, 0.3]",0.824897,165.95,Windows-AMD64
2025-12-19 19:57:30,139,8e-05,24,8,"[0.5, 0.3, 0.3, 0.1]",0.837209,213.93,Windows-AMD64
2025-12-19 20:00:24,140,8e-05,24,9,"[0.2, 0.3, 0.4, 0.5]",0.831053,174.51,Windows-AMD64
2025-12-19 20:02:41,141,8e-05,26,0,"[0.3, 0.25, 0.2, 0.15]",0.821477,136.61,Windows-AMD64
2025-12-19 20:05:02,142,8e-05,26,1,"[0.35, 0.3, 0.25, 0.2]",0.824897,140.32,Windows-AMD64
2025-12-19 20:08:06,143,8e-05,26,2,"[0.4, 0.35, 0.3, 0.25]",0.831737,184.23,Windows-AMD64
2025-12-19 20:11:19,144,8e-05,26,3,"[0.45, 0.4, 0.35, 0.3]",0.828317,192.10,Windows-AMD64
